CollectabilityID,ProviderID,TimeFrom,TimeTo,Town,Location,Sensortype,IoTDevice,Restrictions,Comment,TopicName,Provider IP,ZTNetworkID
3ig9g,PXK,2021-08-10 13:25,2021-10-10 01:54,Wexford,Living Room,MetalSensor,Samsung Galaxy Note 9,None,None,yieldingly1stereotyped0stretch0boat1,192.168.0.108,3rfv057vluihv3az
bxnyf,HKX,2021-02-06 07:22,2021-10-18 19:45,Tullamore,Living Room,VisionAndImaging Sensor,HTC Desire,None,None,mortally0agreeable0transport0sack0,201.215.235.109,zgbifffo7bzqaiki
50r53,ETF,2021-06-05 17:29,2021-10-21 06:55,Derry,Living Room,ElectricalSensor,Asus PadFone mini,None,None,always1aboard1check0coat1,201.215.235.109,qjfg1kokj9pqw4gm
fxrek,THA,2021-04-01 09:53,2021-10-03 19:15,Lisburn,Living Room,ProximitySensor,Samsung Galaxy S10/e/+,None,None,absentmindedly1second-hand1wobble0touch0,192.168.0.108,3ut45e0b8uq1i0wo
i6rdt,THA,2021-02-05 17:48,2021-10-11 12:23,Galway,Living Room,MotionSensor,Samsung Galaxy Note 9,None,None,more1befitting1scold1icicle0,192.168.0.108,9qtq727b3kcpvkb4
v0n5u,WRV,2021-07-16 17:42,2021-10-10 12:58,Ennis,Living Room,FlawSensor,HTC Rezound,None,None,thoroughly1swanky1compare1north0,192.168.0.108,t8c5v3kytd2qdhcf
9fhtc,BCX,2021-01-17 14:08,2021-10-17 10:49,Balbriggan,Kitchen,RadiationSensor,Huawei Mate 8,None,None,usefully1beautiful0save1passenger1,#N/A,b1k0vea1fk017q9m
6f4bz,ETF,2021-03-02 15:42,2021-10-09 03:51,Limerick,Living Room,FlawSensor,Samsung Galaxy M02,None,None,automatically0fair1object0paper1,201.215.235.109,3ut45e0b8uq1i0wo
kn3lp,ETF,2021-05-06 21:33,2021-10-14 16:31,Arklow,Living Room,ContactSensor,HTC Desire 501,None,None,closely1harsh1blush1crack0,201.215.235.109,0w61o33ulkjmm3oh
8smbd,XCW,2021-08-10 02:11,2021-10-08 03:24,Carlow,Living Room,LeakSensor,Oppo Neo 7,None,None,frightfully0quarrelsome0doubt0frogs1,192.168.0.108,2qk4fwug7oxoc5f6
zrbf0,GWG,2021-01-24 23:27,2021-10-20 18:23,Enniskillen,Living Room,MotionSensor,Nubia Red Magic 3s,None,None,intensely0barbarous0perform1suit1,201.215.235.109,j48xbdqutkfi8krz
xooif,GHC,2021-05-24 22:31,2021-10-07 02:11,Naas,Living Room,MotionSensor,Honor Play 20,None,None,unethically1itchy1snore0memory1,201.215.235.109,uwijmm66u1c5glkj
03ztx,XCW,2021-05-12 07:50,2021-10-16 02:22,Balbriggan,Living Room,VisionAndImaging Sensor,Honor 5A,None,None,seemingly1venomous0replace1hall0,192.168.0.108,milc8lbibmlyfk66
bupxl,PKD,2021-03-14 02:12,2021-10-20 06:24,Wexford,Living Room,LeakSensor,Huawei P30 lite,None,None,loudly1royal1rinse0copper0,50.109.201.254,2jtwbnj7sn5f79bp
myhek,PKD,2021-01-08 23:15,2021-10-20 05:48,Drogheda,Living Room,ProximitySensor,Samsung Galaxy F12,None,None,queasily0excellent0prevent0arch1,50.109.201.254,ghm2g4zmsp6ynxx0
8ltq1,EPD,2021-02-11 11:01,2021-10-08 12:39,Carrigaline,Living Room,PositionSensor,Nubia X6,None,None,bleakly1plucky0squash1stove1,201.215.235.109,tw70s3ahow3wkrzz
20gbw,FLF,2021-09-25 04:11,2021-10-09 06:15,Naas,Living Room,PhotoelectricSensor,Samsung Galaxy M21s,None,None,below1illustrious1report0cabbage1,201.215.235.109,579lg1xn57234tam
2kk25,HAB,2021-07-28 13:31,2021-10-08 10:27,Leixlip,Basement,RadiationSensor,Nubia Red Magic Mars,None,None,sadly0ancient1stare0plate0,201.215.235.109,0ucos3od59yrm896
lf2s1,THA,2021-01-26 19:49,2021-10-20 09:24,Castlebar,Living Room,ParticleSensor,Asus PadFone mini,None,None,triumphantly1abundant0suit1meal1,192.168.0.108,v3ev87nc5c1nv4jj
875we,WRV,2021-01-05 10:54,2021-10-19 18:53,Dungannon,Living Room,ParticleSensor,HTC Desire Eye,None,None,searchingly0subdued1apologise1string1,192.168.0.108,ncehkqabojjqj3y7
d079p,PXK,2021-08-28 13:00,2021-10-21 11:10,Tullamore,Living Room,PositionSensor,Nubia Z9,None,None,carefully1tiresome0kiss0grandfather1,192.168.0.108,apneovwjunmfhf6v
gccv3,JNU,2021-04-03 06:32,2021-10-14 11:49,Celbridge,Diningroom,PhotoelectricSensor,Honor 20i,None,None,noisily0organic1impress1advertisement0,201.215.235.109,j48xbdqutkfi8krz
29r7n,SLZ,2021-02-18 04:33,2021-10-14 19:13,Letterkenny,Backyard,ParticleSensor,HTC Desire 610,None,None,solemnly0FALSE0amuse0pan0,192.168.0.108,knmf3vubnsfem4xr
